編號,詞語,語源,義項,詞類,等級,標籤,TL,POJ,方言差,近義詞,反義詞,相關詞,附註,動詞變化,翻譯,,分類
69,七夕,,111,名,,,農曆七月初七夜晚。相傳天上的牛郎、織女會在當晚相會。對臺灣人來說，七月初七是「七娘媽生」(Tshit-niû-má-senn)，臺南還有「做十六歲」(tsò tsa̍p-la̍k huè)的習俗。,農曆七月初七夜晚。相傳天上的牛郎、織女會在當晚相會。對臺灣人來說，七月初七是「七娘媽生」(Chhit-niû-má-seⁿ)，臺南還有「做十六歲」(chò cha̍p-la̍k hòe)的習俗。,,125#181,,,,tshit-sia̍h,chhit-sia̍h,https://sutian.moe.edu.tw/zh-hant/su/69/#111,時間節令|生活狀況|相關器具、活動
70,了工,,112,動,,,白費工夫。,,,8639#11916,,,,liáu-kang,liáu-kang,https://sutian.moe.edu.tw/zh-hant/su/70/#112,一般動詞-行為動詞
71,人工,,113,名,,,人力、人手。人的勞動力或是指可以工作的人。,,,10064#13821,,,,lâng-kang,lâng-kang,https://sutian.moe.edu.tw/zh-hant/su/71/#113,泛稱|服務業及其他|錢財資產
71,人工,,114,名,,,工資。從事工作所得的報酬。,,,25445,,,,lâng-kang,lâng-kang,https://sutian.moe.edu.tw/zh-hant/su/71/#114,泛稱|服務業及其他|錢財資產
72,人才,,115,名,,,外表、儀容。,,,,,,,lâng-tsâi,lâng-châi,https://sutian.moe.edu.tw/zh-hant/su/72/#115,體態樣貌
73,入土,,116,動,,,埋葬。將亡者的遺體葬入土中。,,,5856#8163,,,,ji̍p-thóo/li̍p-thóo,ji̍p-thó͘/li̍p-thó͘,https://sutian.moe.edu.tw/zh-hant/su/73/#116,生養老死
74,刁工,,117,副,,,專程、特地。,,,116#170|7145#9915,,,,thiau-kang,thiau-kang,https://sutian.moe.edu.tw/zh-hant/su/74/#117,心理狀態
74,刁工,,118,副,,,故意。,,,117#171|144#201|2299#3202|23747,8640#11918|8644#11922,,,thiau-kang,thiau-kang,https://sutian.moe.edu.tw/zh-hant/su/74/#118,心理狀態
75,人中,,119,名,,,人臉部鼻子下，嘴脣上方凹下部分。,,,,,,,jîn-tiong/lîn-tiong,jîn-tiong/lîn-tiong,https://sutian.moe.edu.tw/zh-hant/su/75/#119,生理構造
76,七孔,,120,名,,,七竅。指人臉部的七個孔穴，包括兩眼、兩耳、兩鼻孔和嘴巴。,,,17755,,,,tshit-khóng,chhit-khóng,https://sutian.moe.edu.tw/zh-hant/su/76/#120,生理構造
77,九孔,,121,名,,,貝類。貝葉為橢圓形，上面有九個上下的吸水孔，喜歡棲息在數公尺深的岩礁地形中。有野生採集和人工養殖兩種來源，可以做為海鮮食材，是臺灣東北角、東部海岸及澎湖縣等岩岸地區的著名水產養殖貝類。,,V278,,,,,káu-kháng,káu-kháng,https://sutian.moe.edu.tw/zh-hant/su/77/#121,魚蝦海獸|食物、飲料、煙酒
78,二手,,122,名,,,副手、助手、助理。技術工作中的助手、協助處理事務的人。,,,6933#9639|24738|25078,5927#8284|12040#16423,,,jī-tshiú/lī-tshiú,jī-chhiú/lī-chhiú,https://sutian.moe.edu.tw/zh-hant/su/78/#122,地位、身世、背景|相關用語
78,二手,,123,名,,,中古貨。已經使用過，又再出售的貨品。,,,631#867,,,,jī-tshiú/lī-tshiú,jī-chhiú/lī-chhiú,https://sutian.moe.edu.tw/zh-hant/su/78/#123,地位、身世、背景|相關用語
79,入木,,124,動,,,入殮。把死者放進棺木中。,,,157#217|18246|19324,,,,ji̍p-bo̍k/li̍p-bo̍k,ji̍p-bo̍k/li̍p-bo̍k,https://sutian.moe.edu.tw/zh-hant/su/79/#124,生養老死|婚喪喜慶
80,八仙,,125,名,,,神話傳說中的八位仙人，漢鍾離、張果老、韓湘子、鐵拐李、曹國舅、呂洞賓、藍采和、何仙姑八人。,,,,,,,pat-sian,pat-sian,https://sutian.moe.edu.tw/zh-hant/su/80/#125,神明、鬼怪、教派
81,刀仔,,126,名,,,小刀。,,,50#84,,,,to-á,to-á,https://sutian.moe.edu.tw/zh-hant/su/81/#126,生活用品
82,八仙桌,,127,名,,,一種用來祭祀的方桌。通常置於大廳，祭祀時用來陳列祭品，與用來供奉神明或祖先牌位的「尪架桌」(ang-kè-toh)合稱「頂下桌」(tíng-ē toh)。,一種用來祭祀的方桌。通常置於大廳，祭祀時用來陳列祭品，與用來供奉神明或祖先牌位的「尪架桌」(ang-kè-toh)合稱「頂下桌」(téng-ē toh)。,,,,,,pat-sian-toh,pat-sian-toh,https://sutian.moe.edu.tw/zh-hant/su/82/#127,生活用品|相關器具、活動
83,八仙綵,,128,名,,,繡有八仙過海的紅色彩幔，在喜事節慶時懸掛在門楣上。,,,,,,,pat-sian-tshái,pat-sian-chhái,https://sutian.moe.edu.tw/zh-hant/su/83/#128,婚喪喜慶|相關器具、活動
84,刁古董,,129,動,,,刻意作弄、為難別人。,,,51#87|159#219|5212#7305|29383#23032,,,,tiau-kóo-tóng,tiau-kó͘-tóng,https://sutian.moe.edu.tw/zh-hant/su/84/#129,心理狀態|待人處事
85,了本,,130,動,,,蝕本、虧本。,,V567,9370#12875|9402#12911,28392#22588,,,liáu-pún,liáu-pún,https://sutian.moe.edu.tw/zh-hant/su/85/#130,財務單位、活動
86,人民,,131,名,,,百姓、國民。居住在一國家內具有應享權利與應盡義務的人。,,,637#874|1764#2432,,,,jîn-bîn/lîn-bîn,jîn-bîn/lîn-bîn,https://sutian.moe.edu.tw/zh-hant/su/86/#131,國家、社會、民眾
87,人生,,132,名,,,人的一生、生命歷程。,,,,,,,jîn-sing/lîn-sing,jîn-seng/lîn-seng,https://sutian.moe.edu.tw/zh-hant/su/87/#132,生養老死
88,刀石,,133,名,,,磨刀石。,,,,,,,to-tsio̍h,to-chio̍h,https://sutian.moe.edu.tw/zh-hant/su/88/#133,生活用品
