編號,詞語,標籤,TL,POJ,TL/N.,POJ/N.,音檔,分類,類型
631,中古,,tiong-kóo,tiong-kó͘,tiong1-koo2,tiong1-ko͘2,631(1).mp3,時間節令|境況、狀態-擬物,主詞目
632,內外,,lāi-guā,lāi-gōa,lai7-gua7,lai7-goa7,632(1).mp3,空間方位,主詞目
633,五加皮,,ngóo-ka-pî,ngó͘-ka-pî,ngoo2-ka1-pi5,ngou2-ka1-pi5,633(1).mp3,食物、飲料、煙酒,主詞目
634,內奶,,lāi-ling/lāi-ni,lāi-leng/lāi-ni,lai7-ling1/lai7-ni1,lai7-leng1/lai7-ni1,634(1).mp3,交通、運輸,主詞目
635,公平,,kong-pênn/kong-pînn,kong-pêⁿ/kong-pîⁿ,kong1-penn5/kong1-pinn5,kong1-penn5/kong1-pinn5,635(1).mp3,心理狀態,主詞目
636,公母,,kang-bó,kang-bó,kang1-bo2,kang1-bo2,636(1).mp3,事、物泛稱,主詞目
637,公民,,kong-bîn,kong-bîn,kong1-bin5,kong1-bin5,637(1).mp3,國家、社會、民眾,主詞目
638,中用,,tiòng-iōng,tiòng-iōng,tiong3-iong7,tiong3-iong7,638(1).mp3,泛稱|性質、程度,主詞目
639,中立,,tiong-li̍p,tiong-li̍p,tiong1-lip8,tiong1-lip8,639(1).mp3,氣質態度|待人處事,主詞目
640,丹田,,tan-tiân,tan-tiân,tan1-tian5,tan1-tian5,640(1).mp3,生理構造,主詞目
641,公用,,kong-iōng,kong-iōng,kong1-iong7,kong1-iong7,641(1).mp3,境況、狀態-擬物|性質、程度,主詞目
642,冇石仔,,phànn-tsio̍h-á,phàⁿ-chio̍h-á,phann3-chioh8-a2,phaⁿ3-chioh8-a2,642(1).mp3,資源礦物,主詞目
643,予伊,,hōo i,hō͘ i,hoo7 i1,hou7 i1,643(1).mp3,連詞、介詞,主詞目
644,介在,,kài-tsāi,kài-chāi,kai3-tsai7,kai3-tsai7,644(1).mp3,副詞,主詞目
645,公共,,kong-kiōng,kong-kiōng,kong1-kiong7,kong1-kiong7,645(1).mp3,境況、狀態-擬物|擬聲、擬態,主詞目
646,六合,,lio̍k-ha̍p,lio̍k-ha̍p,liok8-hap8,liok8-hap8,646(1).mp3,空間方位,主詞目
647,今年,,kin-nî,kin-nî,kin1-ni5,kin1-ni5,647(1).mp3,時間節令,主詞目
648,內地,,lāi-tē/lāi-tuē,lāi-tē/lāi-tōe,lai7-te7/lai7-tue7,lai7-te7/lai7-toe7,648(1).mp3,地理|自然現象,主詞目
649,凶年,,hiong-nî,hiong-nî,hiong1-ni5,hiong1-ni5,649(1).mp3,生活狀況,主詞目
650,中旬,,tiong-sûn,tiong-sûn,tiong1-sun5,tiong1-sun5,650(1).mp3,時間節令,主詞目
651,冗早,,liōng-tsá,liōng-chá,liong7-tsa2,liong7-tsa2,651(1).mp3,副詞,主詞目
652,不死鬼,,put-sú-kuí,put-sú-kúi,put4-su2-kui2,put4-su2-kui2,652(1).mp3,泛稱|氣質態度,主詞目
653,內行,,lāi-hâng,lāi-hâng,lai7-hang5,lai7-hang5,653(1).mp3,相關用語|才智能力,主詞目
654,內行的,,lāi-hâng--ê,lāi-hâng--ê,lai7-hang5--e5,lai7-hang5--e5,654(1).mp3,泛稱,主詞目
655,不而過,,put-jî-kò/put-lî-kò,put-jî-kò/put-lî-kò,put4-ji5-ko3/put4-li5-ko3,put4-ji5-ko3/put4-li5-ko3,655(1).mp3,副詞,主詞目
656,不但,,put-tān,put-tān,put4-tan7,put4-tan7,656(1).mp3,連詞、介詞,主詞目
657,分伻,,pun-phenn,pun-pheⁿ,pun1-phenn1,pun1-pheⁿ1,657(1).mp3,一般動詞-行為動詞,主詞目
658,分別,,hun-pia̍t,hun-pia̍t,hun1-piat8,hun1-piat8,658(1).mp3,心理活動|一般動詞-靜態動詞,主詞目
659,不孝,,put-hàu,put-hàu,put4-hau3,put4-hau3,659(1).mp3,道德評價,主詞目
660,不求人,,put-kiû-jîn/put-kiû-lîn,put-kiû-jîn/put-kiû-lîn,put4-kiu5-jin5/put4-kiu5-lin5,put4-kiu5-jin5/put4-kiu5-lin5,660(1).mp3,生活用品|休閒、娛樂,主詞目
661,公里,,kong-lí,kong-lí,kong1-li2,kong1-li2,661(1).mp3,數詞、量詞,主詞目
662,分身,,hun-sin,hun-sin,hun1-sin1,hun1-sin1,662(1).mp3,泛稱|相關用語,主詞目
663,公事,,kong-sū,kong-sū,kong1-su7,kong1-su7,663(1).mp3,相關用語,主詞目
664,中和,,tiong-hô,tiong-hô,tiong1-ho5,tiong1-ho5,664(1).mp3,地理|科技、工業|境況、狀態-擬事,主詞目
665,內底,,lāi-té/lāi-tué,lāi-té/lāi-tóe,lai7-te2/lai7-tue2,lai7-te2/lai7-toe2,665(1).mp3,空間方位,主詞目
666,公所,,kong-sóo,kong-só͘,kong1-soo2,kong1-sou2,666(1).mp3,政治,主詞目
667,不服,,put-ho̍k,put-ho̍k,put4-hok8,put4-hok8,667(1).mp3,心理狀態,主詞目
668,分明,,hun-bîng,hun-bêng,hun1-bing5,hun1-beng5,668(1).mp3,副詞,主詞目
669,不法,,put-huat,put-hoat,put4-hoat4,put4-hoat4,669(1).mp3,法律,主詞目
670,六法全書,,Lio̍k-huat-tsuân-su,Lio̍k-hoat-choân-su,Liok8-huat4-tsuan5-su1,Liok8-hoat4-tsoan5-su1,670(1).mp3,法律,主詞目
671,公的,,kang--ê,kang--ê,kang1--e5,kang1--e5,671(1).mp3,動物形體、行為|植物形體、狀態,主詞目
672,分的,,pun--ê,pun--ê,pun1--e5,pun1--e5,672(1).mp3,地位、身世、背景|性質、程度,主詞目
673,五金,,ngóo-kim,ngó͘-kim,ngoo2-kim1,ngou2-kim1,673(1).mp3,資源礦物|科技、工業|生產工具,主詞目
674,五金行,,ngóo-kim-hâng,ngó͘-kim-hâng,ngoo2-kim1-hang5,ngou2-kim1-hang5,674(1).mp3,科技、工業|生活用品|建築物、結構,主詞目
675,中指,,tiong-tsáinn,tiong-cháiⁿ,tiong1-chainn2,tiong1-chaiⁿ2,675(1).mp3,生理構造,主詞目
676,內政,,luē-tsìng,lōe-chèng,lue7-tsing3,loe7-cheng3,676(1).mp3,政治,主詞目
677,五柳居,,ngóo-liú-ki/ngóo-liú-ku,ngó͘-liú-ki/ngó͘-liú-ku,ngoo2-liu2-ki1/ngoo2-liu2-ku1,ngou2-liu2-ki1/ngou2-liu2-ku1,677(1).mp3,食物、飲料、煙酒,主詞目
678,中毒,,tiòng-to̍k,tiòng-to̍k,tiong3-tok8,tiong3-tok8,678(1).mp3,傷疾病痛,主詞目
679,丹毒,,tan-to̍k,tan-to̍k,tan1-tok8,tan1-tok8,679(1).mp3,傷疾病痛,主詞目
680,冇炭,,phànn-thuànn,phàⁿ-thòaⁿ,phann3-thoann3,phaⁿ3-thoaⁿ3,680(1).mp3,資源礦物|廢棄物,主詞目
681,分派,,hun-phài,hun-phài,hun1-phai3,hun1-phai3,681(1).mp3,一般動詞-行為動詞,主詞目
682,中秋,,Tiong-tshiu,Tiong-chhiu,Tiong1-chhiu1,Tiong1-chhiu1,682(1).mp3,時間節令|生活狀況|相關器具、活動,主詞目
683,內科,,lāi-kho,lāi-kho,lai7-kho1,lai7-kho1,683(1).mp3,醫療保健,主詞目
684,中秋節,,Tiong-tshiu-tseh/Tiong-tshiu-tsueh,Tiong-chhiu-cheh/Tiong-chhiu-choeh,Tiong1-chhiu1-cheh4/Tiong1-chhiu1-choeh4,Tiong1-chhiu1-cheh4/Tiong1-chhiu1-choeh4,684(1).mp3,時間節令|生活狀況|相關器具、活動,主詞目
685,中秋餅,,Tiong-tshiu-piánn,Tiong-chhiu-piáⁿ,Tiong1-chhiu1-piann2,Tiong1-chhiu1-piaⁿ2,685(1).mp3,食物、飲料、煙酒|相關器具、活動,主詞目
686,中計,,tiòng-kè,tiòng-kè,tiong3-ke3,tiong3-ke3,686(1).mp3,一般動詞-行為動詞,主詞目
687,內衫,,lāi-sann,lāi-saⁿ,lai7-sann1,lai7-sann1,687(1).mp3,衣帽鞋襪,主詞目
688,中風,,tiòng-hong,tiòng-hong,tiong3-hong1,tiong3-hong1,688(1).mp3,傷疾病痛,主詞目
689,五香,,ngóo-hiang,ngó͘-hiang,ngoo2-hiang1,ngou2-hiang1,689(1).mp3,食物、飲料、煙酒,主詞目
690,元首,,guân-siú,goân-siú,guan5-siu2,goan5-siu2,690(1).mp3,國家、社會、民眾|地位、身世、背景|政治,主詞目
691,內面,,lāi-bīn,lāi-bīn,lai7-bin7,lai7-bin7,691(1).mp3,空間方位,主詞目
692,允准,,ín-tsún/ún-tsún,ín-chún/ún-chún,in2-tsun2/un2-tsun2,in2-tsun2/un2-tsun2,692(1).mp3,心理活動,主詞目
693,內套,,lāi-thò,lāi-thò,lai7-tho3,lai7-tho3,693(1).mp3,衣帽鞋襪,主詞目
694,元宵,,Guân-siau,Goân-siau,Guan5-siau1,Goan5-siau1,694(1).mp3,時間節令|生活狀況|相關器具、活動,主詞目
695,內孫,,lāi-sun,lāi-sun,lai7-sun1,lai7-sun1,695(1).mp3,宗族、家庭|稱謂輩分,主詞目
696,內容,,luē-iông,lōe-iông,lue7-iong5,loe7-iong5,696(1).mp3,事、物泛稱,主詞目
697,公家,,kong-ka,kong-ka,kong1-ka1,kong1-ka1,697(1).mp3,國家、社會、民眾,主詞目
698,公家,,kong-ke,kong-ke,kong1-ke1,kong1-ke1,698(1).mp3,境況、狀態-擬物|性質、程度,主詞目
699,不時,,put-sî,put-sî,put4-si5,put4-si5,699(1).mp3,時間節令,主詞目
700,六書,,lio̍k-su,lio̍k-su,liok8-su1,liok8-su1,700(1).mp3,語言、文字、符號,主詞目
701,元氣,,guân-khì,goân-khì,guan5-khi3,goan5-khi3,701(1).mp3,反應、表情|體態樣貌,主詞目
702,六畜,,lio̍k-thiok,lio̍k-thiok,liok8-thiok4,liok8-thiok4,702(1).mp3,自然現象|獸類,主詞目
703,元神,,guân-sîn,goân-sîn,guan5-sin5,goan5-sin5,703(1).mp3,心理狀態,主詞目
704,中脊,,tiong-tsit,tiong-chit,tiong1-chit4,tiong1-chit4,704(1).mp3,建築物、結構,主詞目
705,分配,,hun-phuè,hun-phòe,hun1-phue3,hun1-phoe3,705(1).mp3,一般動詞-行為動詞,主詞目
706,不動產,,put-tōng-sán,put-tōng-sán,put4-tong7-san2,put4-tong7-san2,706(1).mp3,錢財資產,主詞目
707,公婆,,kong-pô,kong-pô,kong1-po5,kong1-po5,707(1).mp3,宗族、家庭|性別、婚姻|稱謂輩分,主詞目
708,五彩,,ngóo-tshái,ngó͘-chhái,ngoo2-tshai2,ngou2-chhai2,708(1).mp3,顏色、氣味,主詞目
709,分張,,pun-tiunn,pun-tiuⁿ,pun1-tiunn1,pun1-tiuⁿ1,709(1).mp3,個性風格,主詞目
710,不得了,,put-tik-liáu,put-tek-liáu,put4-tek4-liau2,put4-tek4-liau2,710(1).mp3,性質、程度,主詞目
711,不得已,,put-tik-í,put-tek-í,put4-tek4-i2,put4-tek4-i2,711(1).mp3,境況、狀態-擬人,主詞目
712,內情,,luē-tsîng,lōe-chêng,lue7-tsing5,loe7-cheng5,712(1).mp3,境況、狀態-擬事,主詞目
